Time,Thermistor,Potentiometer
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 479 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 479 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 479 ,0
, 480 ,0
, 480 ,0
, 480 ,0
, 479 ,0
, 480 ,0
, 479 ,0
, 479 ,0
, 480 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 479 ,0
, 478 ,0
, 479 ,0
, 479 ,0
, 478 ,0
, 479 ,0
, 479 ,0
, 478 ,0
, 478 ,0
, 479 ,0
, 479 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 479 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 477 ,0
, 478 ,0
, 478 ,0
, 478 ,0
, 477 ,0
, 478 ,0
, 478 ,0
, 477 ,0
, 478 ,0
, 478 ,0
, 477 ,0
, 477 ,0
, 478 ,0
, 478 ,0
, 477 ,0
, 477 ,0
, 478 ,0
, 478 ,0
, 477 ,0
, 477 ,0
, 478 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 476 ,0
, 477 ,0
, 476 ,0
, 476 ,0
, 477 ,0
, 477 ,0
, 477 ,0
, 476 ,0
, 477 ,0
, 476 ,0
, 476 ,0
, 477 ,0
, 477 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 477 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 475 ,0
, 476 ,0
, 476 ,0
, 475 ,0
, 476 ,0
, 476 ,0
, 476 ,0
, 475 ,0
, 476 ,0
, 476 ,0
, 475 ,0
, 476 ,0
, 476 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 476 ,0
, 476 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 476 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 474 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 475 ,0
, 474 ,0
, 475 ,0
, 474 ,0
, 474 ,0
, 475 ,0
, 474 ,0
, 474 ,0
, 475 ,0
, 475 ,0
, 474 ,0
, 475 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 475 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 475 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 473 ,0
, 474 ,0
, 474 ,0
, 473 ,0
, 473 ,0
, 474 ,0
, 474 ,0
, 474 ,0
, 473 ,0
, 474 ,0
, 474 ,0
, 473 ,0
, 474 ,0
, 474 ,0
, 473 ,0
, 473 ,0
, 474 ,0
, 474 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 473 ,0
, 472 ,0
, 472 ,0
, 473 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 473 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 471 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 471 ,0
, 471 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 472 ,0
, 471 ,0
, 472 ,0
, 471 ,0
, 472 ,0
, 472 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 472 ,0
, 471 ,0
, 472 ,0
, 471 ,0
, 472 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 472 ,0
, 472 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 472 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 470 ,0
, 471 ,0
, 471 ,0
, 470 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 471 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 471 ,0
, 470 ,0
, 471 ,0
, 471 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 471 ,0
, 470 ,0
, 471 ,0
, 471 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 471 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 471 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 471 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 471 ,0
, 471 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 469 ,0
, 469 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 469 ,0
, 470 ,0
, 469 ,0
, 469 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 469 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 470 ,0
, 469 ,0
, 469 ,0
, 470 ,0
, 470 ,0
, 469 ,0
, 469 ,0
, 470 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 470 ,0
, 470 ,0
, 469 ,0
, 470 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 470 ,0
, 470 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 470 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 468 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 468 ,0
, 468 ,0
, 469 ,0
, 468 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 468 ,0
, 468 ,0
, 469 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 469 ,0
, 469 ,0
, 469 ,0
, 468 ,0
, 468 ,0
, 469 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 469 ,0
, 468 ,0
, 468 ,0
, 469 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 467 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 467 ,0
, 468 ,0
, 468 ,0
, 468 ,0
, 467 ,0
, 467 ,0
, 468 ,0
, 468 ,0
, 467 ,0
, 468 ,0
, 468 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 468 ,0
, 468 ,0
, 467 ,0
, 468 ,0
, 468 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 468 ,0
, 468 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 466 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 466 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 466 ,0
, 467 ,0
, 466 ,0
, 467 ,0
, 467 ,0
, 466 ,0
, 466 ,0
, 467 ,0
, 466 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 466 ,0
, 467 ,0
, 466 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 466 ,0
, 466 ,0
, 467 ,0
, 467 ,0
, 466 ,0
, 466 ,0
, 467 ,0
, 466 ,0
, 467 ,0
, 467 ,0
, 467 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 467 ,0
, 466 ,0
, 467 ,0
, 467 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 467 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 467 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 467 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 467 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 465 ,0
, 465 ,0
, 466 ,0
, 466 ,0
, 466 ,0
, 465 ,0
, 466 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 466 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 464 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 465 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 463 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 463 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 463 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 463 ,0
, 464 ,0
, 464 ,0
, 464 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 464 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 464 ,0
, 463 ,0
, 463 ,0
, 464 ,0
, 463 ,0
, 464 ,0
, 464 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 464 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 464 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 462 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 462 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 462 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 463 ,0
, 462 ,0
